Reference,Author,Date,Timestamp,Lines_Updated,Author_Comment
r1515469,Freddie,2015-09-07,18:02:26,2,PHONE-1174: Phone 2.0 - When both Upload and Download are in progress, if we cancel any one(either download or upload), both are getting cancelled. Cancel only the target operation instead of canceling all operations.
r1515192,Freddie,2015-09-07,08:40:42,2,PHONE-1245: Phone || Files Upload is not resuming once connection is lost and regained fix the way the Cloud SDK is integrated for the upload. Reported from trunk.
r1514885,/OU=Domain Control Validated/CN=svn.company.net,2015-09-04,15:28:55,1,[gradle-release] prepare for next development iteration
r1514854,Thomas,2015-09-04,14:45:09,1,Fixed lint issue
r1514848,Thomas,2015-09-04,14:35:07,1,PHONE-1246: CR018 Carousel
r1514769,Thomas,2015-09-04,12:36:03,1,PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.
r1514659,Thomas,2015-09-04,10:33:11,1,PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album
r1514632,Thomas,2015-09-04,09:24:09,1,PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title
r1514422,Thomas,2015-09-03,16:43:11,1,PHONE-1109: Phone 2.0 - Empty Pop up message is displayed when we tap on continue on Download paused Roaming detected screen.
r1514088,Freddie,2015-09-03,10:11:46,2,PHONE-1018: Phone || Files download is not resuming once connection is lost and regained extends to all I/O exceptions the pause of download operations, by using the latest Cloud SDK 1.0.8.18
r1511865,Freddie,2015-08-28,09:28:08,2,PHONE-1018: Phone || Files download is not resuming once connection is lost and regained Finer detection of the manager to call (remote or local file manager) depending on the state of the work
r1511531,murari.krishnan,2015-08-27,15:18:55,1,fixed PHONE-1104 No-Videos message is displayed under photos tab.
r1511263,Thomas,2015-08-27,09:07:17,1,Removed unused -keepclassmembers
r1510630,Freddie,2015-08-26,10:51:19,2,ANDINTL-3702: 15.2-PC-login pop up is displayed when device is kept idle for some time 
r1510560,Thomas,2015-08-26,09:41:24,1,Merging 15.2 changes
r1510491,Freddie,2015-08-26,08:12:56,2,PHONE-1018: Phone || Files downloading is not resuming once the airplane mode is turned ON and OFF 
r1510251,Nicky,2015-08-25,17:19:59,5,PHONE-1014 Phone 2.0 - Unexpected response on the progress bar while restoring. ANDINTL-3366 15.2- Warning message is displayed when we disabled wi-fi during photo upload,upload is not resuming when wi-fi is back 
r1510206,Thomas,2015-08-25,16:28:54,1,PHONE-1039: Phone 2.0 - Push notification icon is not matching on all devices.
r1509790,Thomas,2015-08-25,09:34:01,1,PHONE-995: ATT Android || Keypad is in visible state when we click on hamburger menu from the help screen search field
r1509257,/OU=Domain Control Validated/CN=svn.company.net,2015-08-24,11:14:13,1,[gradle-release] prepare for next development iteration
r1509222,Jimmy,2015-08-24,10:37:35,1,PHONE-363
r1508948,Jimmy,2015-08-21,16:50:38,1,PHONE-434
r1508779,Jimmy,2015-08-21,14:07:58,1,PHONE-996
r1508685,Jimmy,2015-08-21,12:12:20,1,PHONE-996
r1508629,Jimmy,2015-08-21,11:16:41,1,PHONE-854 - Changed sender ID
r1508188,/OU=Domain Control Validated/CN=svn.company.net,2015-08-20,15:06:07,1,[gradle-release] prepare for next development iteration
r1508164,Jimmy,2015-08-20,14:41:27,1,TypographyDashes fix
r1508161,Jimmy,2015-08-20,14:35:13,1,TypographyDashes fix
r1508151,Jimmy,2015-08-20,14:28:08,1,String updates
r1508145,Jimmy,2015-08-20,14:19:26,1,PHONE-908
r1508044,Thomas,2015-08-20,12:05:30,1,PHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen
r1508020,Thomas,2015-08-20,11:49:01,1,PHONE-434: PHONE 2.0 - Slide menu title is "Personal Cloud"
r1507926,Thomas,2015-08-20,09:42:08,1,PHONE-726: Phone 2.0 - Message displayed on tapping of "Locker Backup Paused Roaming detected..." notification is not as expected.
